problem,grid,noise,sigma,seed,method,coefficient_error,coefficient_linf,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE HT,1.02148123143018,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,False,Time limit,110,200.02485450002132,200.05219345807564,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10419201764544764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[18]
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=1e-10,80619879301267.14,0.5472542964493063,True,False,1,42,0,0.023255813953488372,1.0,0.045454545454545456,0.023255813953488372,False,L1 KKT residual 0.00021: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,300,16.442446874978486,16.4697858330328,"[-0.5543789821873271, 0.022538394360013772, 2.2894914423973266e-06, -1.2374508506903848e-08, -5.91218359214826e-12, -7.410753706540884e-15, 1.735422143942342e-18, 0.0, -64.13917812785398, -0.22637285177534683, -0.0001851960387704908, -6.995235725573985e-08, 5.787184676568103e-12, 4.373310877854514e-14, 0.0, 19285.82113949425, -27.614760506125307, 0.004705553907833168, 1.4672288163824753e-05, 1.1282029336499157e-08, -2.0445355489553066e-11, 0.0, 2571911.6583814826, 17979.172933330177, -1.5179291823049066, -0.004097122736892191, -1.0623446850525865e-05, -1.0437399517923907e-09, 0.0, -1554311532.185889, 3591874.0712795625, 1403.634030217838, -0.25856071592885793, -0.0010559624734266596, -9.583078507085677e-07, 0.0, 608201280596.7957, -371946576.6199948, -323477.11092711176, 409.8839034245973, 0.39219655052177677, -0.0006395725614498576, 0.0, -40305336765078.195, 33934014567.73399, 148472180.239025, 90200.8543613484, -230.37940681541804, 0.04443686186944109]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=1e-08,44445838948187.266,0.46685324957492724,True,False,1,42,0,0.023255813953488372,1.0,0.045454545454545456,0.023255813953488372,False,L1 KKT residual 7.84e-05: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,300,17.22304145799717,17.250380416051485,"[-0.7512782609563743, 0.026937972001236345, 1.006771573712433e-05, -1.1305397060623907e-08, -8.4889103376747e-12, -1.083917374875863e-14, -2.870813721574058e-18, 0.0, -58.65825132299721, -0.2665733752125364, -0.00023102174360309014, 9.36369611221587e-08, -4.7310691573666803e-11, 1.7179202177454956e-14, 0.0, 29518.16815736676, -45.81371388588104, 0.000536819182918456, 2.0070816982785855e-05, 1.6514589114938295e-08, -1.9984215379584726e-11, 0.0, 595869.9047797633, 16133.144554796516, 6.595757462506649, -0.005266221766835062, -1.1818580002388749e-05, -2.437321636036404e-09, 0.0, -1170702530.2109904, 2995719.8954643565, 466.3468309034563, -0.11418884614629969, -0.001066923532610151, -6.64456040160498e-08, 0.0, 572552068056.9147, -780187912.5522695, 358670.7603800479, 294.4104649343336, 0.33717412663106977, -0.0006992566174373661, 0.0, -22215408559190.914, 77166371373.69771, -39023525.362059, 90358.00943937528, -49.171243889545856, -0.014129652540301635]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=1e-06,29872049520323.29,0.6212847050716088,True,False,1,42,0,0.023255813953488372,1.0,0.045454545454545456,0.023255813953488372,False,L1 KKT residual 0.000103: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,300,17.149795666977298,17.177134625031613,"[-0.8896531828102424, 0.02167930775786472, 3.1346707740374756e-06, -8.920865849001815e-09, -4.240690472158773e-12, -7.298390310445193e-15, -2.5780471776425456e-18, 0.0, -94.23979205925873, -0.1893576474641956, -0.000145050070960556, -7.14881127118142e-08, -1.7277822359905467e-11, 2.756355379739818e-14, 0.0, 10107.912299421632, -21.210027077940957, 0.011382188236408006, 1.2113029509803737e-05, 8.976150713843065e-09, -1.8983102220967716e-11, 0.0, 1929307.9520620673, 13788.418970354682, 1.5091052187552505, -0.0011366985936507917, -7.276498493369113e-06, -5.812740977338141e-09, 0.0, -964895362.7975694, 2383025.9409824153, 274.3526614742597, -0.5761030342048981, -5.997196849733326e-05, -1.0733594766752198e-07, 0.0, 573700793055.5784, -374749322.1224507, -185081.53454415395, 174.7733108626605, 0.24560590161967188, -0.00040743851888895165, 0.0, 14925000620177.59, 7645160191.961129, -62958530.06241626, 60843.4278689098, 44.88476502191403, -0.028609655676390074]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=0.0001,24435551928873.086,0.5522966717284412,True,False,1,16,0,0.058823529411764705,1.0,0.1111111111111111,0.058823529411764705,False,L1 KKT residual 3.85e-05: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,300,16.890149874961935,16.91748883301625,"[-0.4806146657416397, 0.0, -6.055403009036192e-08, -6.611920588278855e-11, -8.733905403085069e-13, -4.1452542972498604e-17, -1.8657387622289464e-19, 0.0, -124.91441264077199, -0.22385166413577937, -0.00014484928883639968, 0.0, 0.0, 0.0, 0.0, -2307.38829868678, -0.4215372160880938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 101436630.9047881, 119264.71137508092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.146928553373893e-06, 0.0, -12217775964015.459, 0.0, 0.0, 2676.658898106568, 12.044489006152874, 0.0]","[0, 2, 3, 4, 5, 6, 8, 9, 10, 15, 16, 29, 30, 41, 43, 46, 47]"
burgers,256×256,0.2,139.9403436083024,0,WENDy-MLE L1=0.01,26393698855042.637,0.2935440826818637,True,False,1,4,0,0.2,1.0,0.3333333333333333,0.2,True,L1 KKT tolerance,97,4.928888167021796,4.956227125076111,"[1.6583138368625545, 0.0010308552144649291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -128.5972803302996, -0.35322795865906814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -13196849427521.318, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 8, 9, 43]"
burgers,256×256,0.2,139.9403436083024,1,WSINDy,0.007004244803385129,0.007004244803385129,True,True,1,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.008777374983765185,0.037627499958034605,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5035021224016926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[9]
burgers,256×256,0.2,139.9403436083024,1,WENDy HT,1.0099056867891234,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,True,IRLS step tolerance,11,0.34440716699464247,0.3732572919689119,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0705505071013157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[26]
burgers,256×256,0.2,139.9403436083024,1,WENDy L1=1e-10,2.703036017413736e+16,61.47688450955077,True,False,1,40,0,0.024390243902439025,1.0,0.047619047619047616,0.024390243902439025,True,IRLS step tolerance,14,0.6295471669873223,0.6583972919615917,"[141.33153486671586, 1.394764448758457, -0.007992965502504088, 2.276384508718977e-06, 1.300002692379644e-08, -8.617185575014587e-12, 0.0, 0.0, 3631.887901584619, -31.238442254775386, -0.0005211591255103236, 0.00014642862947596087, -1.7647642673550143e-07, 5.7976727785541336e-11, 0.0, 380798.7184628362, 4762.571678595227, -36.349223525255915, 0.05674310746964775, -2.3662141840399145e-05, -1.275341404546514e-09, 0.0, 947486394.9327664, -9411913.701540839, 1439.7105007664175, 37.01076825219683, -0.04313671656076673, 1.3272214751751849e-05, 0.0, -84982704796.41254, 2294924296.2205606, -6044183.204696863, 0.0, 8.701170874472345, -0.004786092514043876, 0.0, 12219401647820.838, -208355205495.24817, -141990020.8528783, 1111849.9484172259, -970.0554285223752, 0.20603624936040074, 0.0, -1.3514597691259022e+16, 124870547784536.38, -105797130017.94414, -533109326.07805395, 886924.6960327626, -358.4291539325464]","[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
burgers,256×256,0.2,139.9403436083024,1,WENDy L1=1e-08,6040139091768329.0,0.8572061173479286,True,False,1,33,0,0.029411764705882353,1.0,0.05714285714285714,0.029411764705882353,True,IRLS step tolerance,32,1.1848817080026492,1.2137318329769187,"[127.45959728131292, 0.4669278649743237, -0.006156385409740255, 1.5099272020131896e-05, -1.248934597583201e-08, 0.0, 2.793928067880133e-15, 0.0, -342.9232003208545, -0.07139694132603569, 0.0, 2.8045127737361204e-08, 2.390920465537333e-09, -2.310917655017301e-12, 0.0, -233641.79380550713, 0.0, 0.525373973231967, 0.0, 0.0, -2.339709201187477e-10, 0.0, -1403126.2566761381, -1076286.3870895617, 1819.068982725193, 0.0, -0.0004685712865021264, -2.2072378796251184e-07, 0.0, -30402665528.70286, 20888814.304279637, 0.0, 30.39057310038907, 0.0, -1.478518250572223e-05, 0.0, 2706433905161.8916, -33642510794.32583, 24397144.734289408, 34990.58793945636, 0.0, -0.025812498921459204, 0.0, -3020068286265583.0, 529338320550.1737, 35073662373.09595, -69883479.58074896, 43392.525104091714, -6.432137569793178]","[0, 1, 2, 3, 4, 6, 8, 9, 11, 12, 13, 15, 17, 20, 22, 23, 24, 26, 27, 29, 30, 32, 34, 36, 37, 38, 39, 41, 43, 44, 45, 46, 47, 48]"
burgers,256×256,0.2,139.9403436083024,1,WENDy L1=1e-06,92306400652827.5,1.0,True,False,0,19,1,0.0,0.0,0.0,0.0,True,IRLS step tolerance,97,3.0278326669940725,3.056682791968342,"[0.9761089211163847, 0.3526174587623226, 0.0, -1.0191852407086826e-06, 0.0, 0.0, 5.540757191880333e-16, 0.0, 0.0, 0.0, -0.0007468208793187923, 0.0, 0.0, 2.18040382248814e-13, 0.0, 12699.253556368065, 0.0, 0.0, 0.0, 0.0, -1.2719611061540127e-11, 0.0, 0.0, 0.0, 3.6078975651393006, 0.0, 0.0, -9.13565276677592e-10, 0.0, 1754379219.9075963, 0.0, 0.0, 0.0, 0.0, -1.9167173705230476e-07, 0.0, 1388021750662.623, -2405140741.636581, 0.0, 0.0, 0.0, 0.0010433640716519586, 0.0, -46106296993296.234, 1549407852429.4514, 0.0, -3104516.0287044663, 0.0, 1.5922298834347333]","[0, 1, 3, 6, 10, 13, 15, 20, 24, 27, 29, 34, 36, 37, 41, 43, 44, 46, 48]"
burgers,256×256,0.2,139.9403436083024,1,WENDy L1=0.0001,10331412622365.059,0.0460996634153269,True,False,1,9,0,0.1,1.0,0.18181818181818182,0.1,True,IRLS step tolerance,7,0.2261300419922918,0.25498016696656123,"[0.10897834004126022, 0.0, 0.0, 0.0, 0.0, -1.0165073099758513e-15, -6.160487960331321e-19, 0.0, -26.975617578053146, -0.47695016829233655, 0.0, 0.0, 0.0, 0.0, 0.0, -3623.0995718710356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -324163.36831757956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.985476414588935, 0.0, 0.0, 0.0, 5165706311182.52, 0.0, 0.0, 0.0, 0.0, 0.0021515789305996402]","[0, 5, 6, 8, 9, 15, 22, 39, 43, 48]"
burgers,256×256,0.2,139.9403436083024,1,WENDy L1=0.01,22944248117812.438,0.3100068585900658,True,False,1,4,0,0.2,1.0,0.3333333333333333,0.2,True,IRLS step tolerance,9,0.2851994159864262,0.3140495409606956,"[1.6052112298082422, 0.0019471978377307718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -138.48905031753253, -0.3449965707049671, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11472124058906.219, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 8, 9, 43]"
