problem,grid,noise,sigma,seed,method,coefficient_error,coefficient_linf,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms,strong_error,selected_strong
signal,129,0.05,0.013864579040491515,0,WENDy HT,6.968320719452074,8225.017067665338,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,5,0.1183636249625124,0.15828766697086394,"[0.0, 0.0, 0.0, 0.0, -7.371482730656295, 0.0, 4.547299318140225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.224017067665338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 6, 13]",1.0,"[4, 6, 13]"
signal,129,0.05,0.013864579040491515,0,WENDy L1=0.0001,0.1908694121274248,245.5193669470879,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,6,0.12087325000902638,0.1607972920173779,"[-0.010215158970430772, -1.0160295799084125, 0.2465193669470879, 0.1344597260926823, 0.0, 0.0, 0.0, 0.0, -0.04573716532878254, -0.9980007169791476, 0.15867939284525912, 0.0, 0.0, 0.0, 0.0, 1.0053066768879269, 0.05937540593090029, -0.01699987714719248, 0.0, 0.0, 0.0]","[0, 1, 2, 3, 8, 9, 10, 15, 16, 17]",0.009816743931170296,"[1, 9, 15]"
signal,129,0.05,0.013864579040491515,0,WENDy-MLE HT,7.1885458791800065,9461.706813903684,True,False,0,3,3,0.0,0.0,0.0,0.0,True,Optimization terminated successfully.,4,0.15631512500112876,0.1962391670094803,"[0.0, 0.0, 0.0, 0.0, -6.771912475386474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.079008109700153, 0.0, -9.460706813903684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 11, 13]",1.0,"[4, 11, 13]"
signal,129,0.05,0.013864579040491515,0,WENDy-MLE L1=0.0001,0.19111561945200964,248.5690048739833,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,118,0.3661647089757025,0.40608875098405406,"[-0.010105065914231694, -1.017553226727308, 0.24956900487398329, 0.12069966909092592, 0.0, 0.0, 0.0, 0.0, -0.04901849538269497, -0.998590962590604, 0.16333908303755795, 0.0, 0.0, 0.0, 0.0, 1.0026566628714693, 0.06197694930671025, -0.019930022069416315, 0.0, 0.0, 0.0]","[0, 1, 2, 3, 8, 9, 10, 15, 16, 17]",0.010282007141506948,"[1, 9, 15]"
signal,129,0.1,0.02772915808098303,0,WSINDy,0.04218816898843607,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,5,0.0034514159779064357,0.043429457989986986,"[0.0, -0.9957840845538475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0623992082605367, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0375781605545724, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 15]",0.042125025362034545,"[1, 9, 15]"
signal,129,0.1,0.02772915808098303,0,WENDy HT,13.387485999069389,16155.78706891887,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,6,0.12440687499474734,0.1643849170068279,"[0.0, 0.0, 0.0, 0.0, -11.697494119613015, -11.695708008643823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -16.154787068918868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 13]",1.0,"[4, 5, 13]"
signal,129,0.1,0.02772915808098303,0,WENDy L1=0.0001,1.939252173876876,2928.2216327153474,True,False,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,True,IRLS step tolerance,7,0.12546524999197572,0.16544329200405627,"[-0.052271248749381036, -1.065553166200977, 1.3503243987276192, 0.0, -2.9272216327153475, 0.0, 0.0, 0.0, -0.09481991964926854, -0.9807100326506859, 0.0, 0.0, 0.9078068118680187, 0.0, 0.0, 0.9585008727251045, 0.1959722805080315, 0.0034559357646628446, -0.08989165392197906, 0.0, 0.0]","[0, 1, 2, 4, 8, 9, 12, 15, 16, 17, 18]",0.046157332403741605,"[1, 2, 4]"
signal,129,0.1,0.02772915808098303,0,WENDy-MLE HT,14.576146135617014,18950.353153693773,True,False,0,3,3,0.0,0.0,0.0,0.0,True,Optimization terminated successfully.,4,0.15719045797595754,0.1971684999880381,"[0.0, 0.0, 0.0, 0.0, -9.945160224060176, -13.278815777064795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -18.94935315369377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 13]",1.0,"[4, 5, 13]"
signal,129,0.1,0.02772915808098303,0,WENDy-MLE L1=0.0001,1.9651288786427397,2961.2046231343234,True,False,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,False,L1 KKT residual 8.17e-05: CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120,0.35689804202411324,0.3968760840361938,"[-0.052775359927763534, -1.0805858383480293, 1.3914403735888974, 0.0, -2.9602046231343233, 0.0, 0.0, 0.0, -0.1096911709254605, -0.9833696111195175, 0.01653571895724038, 0.0, 0.8986453761375613, 0.0, 0.0, 0.9440850307521726, 0.21082431989480033, 0.0005772733082970717, -0.08908665135554564, 0.0, 0.0]","[0, 1, 2, 4, 8, 9, 10, 12, 15, 16, 17, 18]",0.05743730194033686,"[1, 2, 4]"
signal,129,0.2,0.05545831616196606,0,WSINDy,0.07712439432833701,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,7,0.0032855409663170576,0.04330562398536131,"[0.0, -1.036687709515651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1230926939420383, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0364803020941518, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 15]",0.07709001615491176,"[1, 9, 15]"
