problem,grid,noise,sigma,seed,method,coefficient_error,coefficient_linf,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms
kdv,400×601,0.2,54.89147646864822,1,WENDy-MLE L1=0.01,429.560464617737,1.0,True,False,1,7,1,0.125,0.5,0.2,0.1111111111111111,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,300,1854.760332875012,1854.8804286250088,"[-479.6130350689134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -24.96132518345479, -0.40110812743803914, 0.0, 0.0, 0.0, -3.2468987127645593e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0032750989706020962, 0.0, 0.0, -3.9399252632797186e-14, -3.131876883951968e-17, -2.2070002551913434e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 8, 9, 13, 36, 39, 40, 41]"
kdv,400×601,0.2,54.89147646864822,2,WSINDy,0.007785426316495532,0.008701474909834861,True,True,2,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.014171874994644895,0.1331957499787677,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.49977547148178714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9912985250901651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9, 22]"
kdv,400×601,0.2,54.89147646864822,2,WENDy HT,1.000000000000007,1.0,True,False,0,2,2,0.0,0.0,0.0,0.0,False,IRLS iteration limit,300,484.7209452090028,484.83996908398694,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3327088440318486e-07, 6.247665667526677e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[18, 19]"
kdv,400×601,0.2,54.89147646864822,2,WENDy L1=1e-06,17.01048527928057,0.06286724907030194,True,False,2,27,0,0.06896551724137931,1.0,0.12903225806451613,0.06896551724137931,True,IRLS step tolerance,296,482.8081729999976,482.92719687498175,"[17.934070103846594, 3.4808285638397223, 0.0, -8.497282567183644e-06, 0.0, 0.0, 1.4268242617404516e-15, 0.0, -5.276651672225897, -0.49342310776805365, 0.0, 0.0, 0.0, -4.838183885419096e-16, 0.0, -0.31885633327966145, 0.0002184678855912568, 1.0015821103203586e-07, 0.0, 0.0, -3.497996420965757e-17, 0.0, -1.062867249070302, -7.914768761563342e-05, 1.8394755265610231e-07, 0.0, 0.0, -2.6821199123954915e-17, 0.0, -0.0021058760163492453, 1.1118089749587702e-06, 3.2774773960761617e-10, 0.0, 0.0, -1.4497350557973373e-19, 0.0, -0.0012444515332442263, 3.0136041897854737e-06, -3.889535231899539e-09, 2.075666184893723e-12, 0.0, -2.117220261552258e-19, 0.0, -2.6317340451243164e-06, -1.5202915345152974e-09, 4.0162042119614095e-12, 0.0, -2.3055061675461175e-18, 7.509706407134772e-22]","[0, 1, 3, 6, 8, 9, 13, 15, 16, 17, 20, 22, 23, 24, 27, 29, 30, 31, 34, 36, 37, 38, 39, 41, 43, 44, 45, 47, 48]"
kdv,400×601,0.2,54.89147646864822,2,WENDy L1=0.0001,454.69574293269204,0.16223261309572523,True,False,2,35,0,0.05405405405405406,1.0,0.10256410256410256,0.05405405405405406,False,L1 subproblem: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1,3.4946748340153135,3.6136987089994363,"[-508.150998910384, -10.826142264986473, 0.021966654646473703, -2.8547160355456847e-06, 0.0, 0.0, -6.10107345306303e-16, 0.0, -9.974291480321185, -0.4795058986135058, -1.035274097474094e-05, 0.0, 0.0, 0.0, 0.0, 1.0517324287710856, 4.406413523578063e-05, 4.379185432600165e-09, 1.6454881730320051e-13, 0.0, 5.081757820490497e-17, 0.0, -1.1622326130957252, 0.00017064551082071855, -6.035245207087269e-10, -3.768375622433989e-13, -4.492770265886926e-14, 9.141380660205029e-19, 0.0, 0.10180981236959108, -7.499577912213266e-05, -6.158260042600003e-08, 1.845271661572894e-11, 8.26041423540502e-14, -3.768287104448724e-17, 0.0, -0.0056779158144780704, 1.1349825891473547e-05, -5.11687418218568e-10, -1.6734865145909743e-11, 1.2482250432685489e-14, -2.4894925960676562e-18, 0.0, 0.0005618376038487926, -3.9664919738046274e-07, -4.1958120614407796e-10, 1.0723481016886295e-13, 4.970686455138388e-16, -2.2388039444927993e-19]","[0, 1, 2, 3, 6, 8, 9, 10, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
kdv,400×601,0.2,54.89147646864822,2,WENDy L1=0.01,555.2880695932535,1.0,True,False,1,5,1,0.16666666666666666,0.5,0.25,0.14285714285714285,True,IRLS step tolerance,29,48.27940441601095,48.39842829099507,"[-620.3485981931165, -0.05402375064517837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -24.44705154668016, -0.42415871208501044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0032855982412390698, 0.0, 0.0, 0.0, -1.0023905192984918e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 8, 9, 36, 40]"
kdv,400×601,0.2,54.89147646864822,2,WENDy-MLE HT,1.0000000000013114,1.0,True,False,0,2,2,0.0,0.0,0.0,0.0,False,Desired error not necessarily achieved due to precision loss.,255,1319.7942077920015,1319.9132316669857,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7965877527475156e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.2545462901881166e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[11, 18]"
kdv,400×601,0.2,54.89147646864822,2,WENDy-MLE L1=1e-06,2663.1577212169254,0.7560872877667713,True,False,2,41,0,0.046511627906976744,1.0,0.08888888888888889,0.046511627906976744,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,300,1577.473858500016,1577.592882375,"[2977.3512156682164, -13.046124563980372, -0.9028990623809333, 0.0038539175909373716, -5.339474303521784e-06, 2.967156845251409e-09, -5.724399364217783e-13, 0.0, 26.827649295381097, -0.8780436438833856, 0.0012954822930547618, -1.8070614576143484e-06, 1.0876416849730547e-09, -2.3382775676371525e-13, 0.0, -0.21174093503245753, -0.06380543052154503, 0.0002652301132931285, -3.79591637671884e-07, 2.2387484507704344e-10, -4.657967149278122e-14, 0.0, -0.6765183556905353, -0.007817922957883005, 2.9621362074145985e-05, -4.253381852324345e-08, 2.579911389275265e-11, -5.554522413871495e-15, 0.0, -0.11287625468198423, 0.00013783378227836518, 7.774058568853405e-07, -1.8540327491605609e-09, 1.3444782199077513e-12, -3.155894527690292e-16, 0.0, -0.003725573084000143, 9.55253721437682e-06, 1.1867263958522235e-08, -4.9947085301452904e-11, 4.194177983325732e-14, -1.0630936650578322e-17, 0.0, -0.0008269435693613256, 3.2953277584201967e-06, -4.169023253879351e-09, 8.977377618217558e-13, 1.1173700166470458e-15, -4.5503961596790365e-19]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
kdv,400×601,0.2,54.89147646864822,2,WENDy-MLE L1=0.0001,1652.013939106022,0.7857542454449327,True,False,2,41,0,0.046511627906976744,1.0,0.08888888888888889,0.046511627906976744,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,300,1697.6521359999897,1697.7711598749738,"[-1745.06215235664, -557.0937713919867, 1.4383655906829245, -0.0006040862877696108, 4.329159331416492e-08, -1.0263907904559048e-10, 9.499735832982936e-15, 0.0, -236.25289100073786, -0.1071228772775337, 8.26401945168755e-06, 8.795291137473519e-09, 2.249010447238492e-11, -7.591924990059959e-14, 0.0, 4.905417438747069, -0.012257220863648404, -2.1667388797227813e-06, 3.567696951713252e-09, -1.456517680260376e-14, 7.619524283346047e-18, 0.0, -1.451335917458784, 0.0007041485009872564, 1.5535486693410375e-05, -2.932605761770085e-08, 1.773500251125832e-11, -3.5045261954802957e-15, 0.0, -0.511425014534088, 0.0013556019287321878, -4.6473243484436807e-07, -1.8401347001754516e-09, 1.2330381134195507e-12, -8.444737829250512e-17, 0.0, 0.052277734926210594, -5.342794778184773e-05, 1.0650629400165006e-08, -4.6564060107604394e-11, 3.721648330308954e-14, -3.7348791933260846e-18, 0.0, -0.004403359687807263, 5.787871162776872e-06, -1.2399105431841185e-09, 6.076023135907334e-13, 2.9172446491220296e-16, -7.48750076085499e-19]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]"
kdv,400×601,0.2,54.89147646864822,2,WENDy-MLE L1=0.01,514.0871267995193,1.0,True,False,1,5,1,0.16666666666666666,0.5,0.25,0.14285714285714285,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,258,2088.8682906670147,2088.987314541999,"[-574.1752287190005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -26.053104155797023, -0.40047893203141244, 0.0, 0.0, 0.0, -3.183724642454882e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033345042751767697, 0.0, 0.0, -1.7325394407472668e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 8, 9, 13, 36, 39]"
